	ROC_8_40
0	0
3.89779e-05	0.121000
4.03699e-05	0.135000
7.47076e-05	0.158000
7.56356e-05	0.271000
0.000101621	0.291000
0.000119718	0.343000
0.000142919	0.373000
0.000160088	0.380000
0.000174936	0.401000
0.000203706	0.445000
0.000213914	0.564000
0.000238971	0.581000
0.000275165	0.623000
0.000307183	0.626000
0.000307647	0.682000
0.000334096	0.686000
0.000344304	0.752000
0.000394419	0.762000
0.000428756	0.767000
0.000482583	0.788000
0.00049836	0.817000
0.00054569	0.853000
0.000645919	0.884000
0.000670976	0.891000
0.000690465	0.913000
0.000760996	0.924000
0.000820391	0.927000
0.000885354	0.939000
0.000941037	0.941000
0.000991615	0.942000
0.000999503	0.956000
0.001	0.963000
	ROC_8_60
0	0
4.03699e-05	0.014000
4.40821e-05	0.089000
7.47076e-05	0.112000
9.79087e-05	0.150000
0.000101621	0.170000
0.000145703	0.220000
0.000158232	0.252000
0.000187001	0.282000
0.000219018	0.300000
0.000257996	0.412000
0.000273773	0.474000
0.000301614	0.533000
0.000321103	0.586000
0.000348945	0.629000
0.000360081	0.716000
0.000374002	0.725000
0.000392099	0.731000
0.00041066	0.784000
0.000482119	0.806000
0.000483047	0.840000
0.000523417	0.846000
0.000614365	0.857000
0.000631534	0.910000
0.000665872	0.915000
0.000668192	0.927000
0.000736403	0.942000
0.00080183	0.957000
0.000904379	0.959000
0.000964238	0.960000
0.001	0.962000
	ROC_8_80
0	0
4.03699e-05	0.014000
4.40821e-05	0.089000
7.47076e-05	0.112000
9.79087e-05	0.150000
0.000101621	0.170000
0.000145703	0.220000
0.000158232	0.252000
0.000187001	0.282000
0.000219018	0.300000
0.000257996	0.412000
0.000273773	0.474000
0.000301614	0.533000
0.000321103	0.586000
0.000348945	0.629000
0.000360081	0.716000
0.000374002	0.725000
0.000392099	0.731000
0.00041066	0.784000
0.000482119	0.806000
0.000483047	0.840000
0.000523417	0.846000
0.000614365	0.857000
0.000631534	0.910000
0.000665872	0.915000
0.000668192	0.927000
0.000736403	0.942000
0.00080183	0.957000
0.000904379	0.959000
0.000964238	0.960000
0.001	0.962000
	ROC_8_100
0	0
4.03699e-05	0.014000
4.40821e-05	0.089000
7.47076e-05	0.112000
9.79087e-05	0.150000
0.000101621	0.170000
0.000145703	0.220000
0.000158232	0.252000
0.000187001	0.282000
0.000219018	0.300000
0.000257996	0.412000
0.000273773	0.474000
0.000301614	0.533000
0.000321103	0.586000
0.000348945	0.629000
0.000360081	0.716000
0.000374002	0.725000
0.000392099	0.731000
0.00041066	0.784000
0.000482119	0.806000
0.000483047	0.840000
0.000523417	0.846000
0.000614365	0.857000
0.000631534	0.910000
0.000665872	0.915000
0.000668192	0.927000
0.000736403	0.942000
0.000769813	0.950000
0.00080183	0.957000
0.000904379	0.959000
0.000964238	0.960000
0.001	0.962000
	ROC_12_40
0	0
4.72749e-07	0.008000
9.45499e-07	0.009000
2.8365e-06	0.010000
3.30925e-06	0.013000
3.78199e-06	0.018000
4.72749e-06	0.019000
5.67299e-06	0.020000
8.03674e-06	0.023000
8.98224e-06	0.026000
9.45499e-06	0.027000
9.92774e-06	0.029000
1.04005e-05	0.031000
1.08732e-05	0.033000
1.1346e-05	0.035000
1.18187e-05	0.038000
1.22915e-05	0.040000
1.27642e-05	0.043000
1.46552e-05	0.049000
1.5128e-05	0.053000
1.56007e-05	0.054000
1.60735e-05	0.057000
1.65462e-05	0.058000
1.7019e-05	0.063000
1.74917e-05	0.064000
1.79645e-05	0.065000
1.84372e-05	0.070000
1.891e-05	0.071000
1.98555e-05	0.075000
2.03282e-05	0.077000
2.0801e-05	0.079000
2.17465e-05	0.081000
2.22192e-05	0.084000
2.2692e-05	0.085000
2.31647e-05	0.087000
2.36375e-05	0.092000
2.50557e-05	0.093000
2.55285e-05	0.101000
2.60012e-05	0.103000
2.78922e-05	0.109000
2.8365e-05	0.110000
2.88377e-05	0.111000
2.93105e-05	0.115000
3.12015e-05	0.120000
3.30925e-05	0.121000
3.35652e-05	0.124000
3.45107e-05	0.125000
3.49834e-05	0.128000
3.54562e-05	0.133000
3.64017e-05	0.134000
3.73472e-05	0.137000
3.82927e-05	0.138000
4.01837e-05	0.146000
4.16019e-05	0.150000
4.20747e-05	0.151000
4.44384e-05	0.159000
4.49112e-05	0.160000
4.58567e-05	0.161000
4.63294e-05	0.169000
4.68022e-05	0.171000
4.72749e-05	0.173000
5.01114e-05	0.176000
5.05842e-05	0.179000
5.29479e-05	0.182000
5.38934e-05	0.186000
5.57844e-05	0.189000
5.67299e-05	0.191000
5.76754e-05	0.192000
5.81482e-05	0.193000
5.90937e-05	0.196000
5.95664e-05	0.197000
6.00392e-05	0.200000
6.05119e-05	0.201000
6.19302e-05	0.202000
6.24029e-05	0.203000
6.28757e-05	0.208000
6.42939e-05	0.212000
6.47667e-05	0.219000
6.57122e-05	0.221000
6.66577e-05	0.223000
6.76032e-05	0.226000
6.80759e-05	0.228000
6.85487e-05	0.230000
6.94941e-05	0.238000
6.99669e-05	0.244000
7.04396e-05	0.246000
7.13851e-05	0.247000
7.18579e-05	0.248000
7.23306e-05	0.254000
7.28034e-05	0.257000
7.32761e-05	0.261000
7.37489e-05	0.262000
7.42216e-05	0.263000
7.46944e-05	0.265000
7.61126e-05	0.266000
7.65854e-05	0.268000
8.03674e-05	0.269000
8.13129e-05	0.273000
8.17856e-05	0.278000
8.27311e-05	0.280000
8.41494e-05	0.281000
8.46221e-05	0.284000
8.50949e-05	0.285000
8.55676e-05	0.289000
8.69859e-05	0.291000
8.79314e-05	0.294000
8.88769e-05	0.296000
8.98224e-05	0.299000
9.02951e-05	0.300000
9.12406e-05	0.303000
9.21861e-05	0.305000
9.26589e-05	0.306000
9.40771e-05	0.309000
9.50226e-05	0.311000
9.64409e-05	0.314000
9.73864e-05	0.319000
9.78591e-05	0.322000
9.83319e-05	0.323000
0.000100696	0.325000
0.000102587	0.326000
0.000103532	0.329000
0.000104478	0.341000
0.00010495	0.342000
0.000105896	0.344000
0.000106369	0.346000
0.000106841	0.349000
0.000109205	0.351000
0.000109678	0.352000
0.000110623	0.356000
0.000112042	0.360000
0.000112987	0.363000
0.000113933	0.366000
0.000116296	0.367000
0.000116769	0.368000
0.000117242	0.369000
0.000117715	0.378000
0.000118187	0.379000
0.00011866	0.380000
0.000119606	0.382000
0.000120078	0.386000
0.000120551	0.387000
0.000121024	0.388000
0.000121497	0.391000
0.000121969	0.393000
0.000122442	0.394000
0.000122915	0.397000
0.00012386	0.399000
0.000126224	0.400000
0.000126697	0.401000
0.000129533	0.403000
0.000130006	0.407000
0.000131424	0.409000
0.000131897	0.410000
0.00013237	0.411000
0.000134261	0.412000
0.000135679	0.413000
0.000136625	0.414000
0.000137097	0.419000
0.000138516	0.425000
0.000138988	0.426000
0.000139934	0.428000
0.000141352	0.430000
0.000142298	0.432000
0.000143243	0.433000
0.000143716	0.434000
0.000145134	0.437000
0.000146552	0.438000
0.000147498	0.443000
0.000147971	0.444000
0.000149389	0.445000
0.000149862	0.448000
0.000150807	0.450000
0.00015128	0.451000
0.000151753	0.452000
0.000152698	0.453000
0.000153171	0.457000
0.000153644	0.458000
0.000155535	0.459000
0.000156007	0.461000
0.00015648	0.463000
0.000159317	0.464000
0.000160262	0.467000
0.000161208	0.469000
0.000162153	0.472000
0.000163099	0.477000
0.000163571	0.481000
0.00016499	0.483000
0.000165462	0.486000
0.000165935	0.498000
0.000167353	0.500000
0.000167826	0.501000
0.000168299	0.505000
0.000168772	0.506000
0.000169244	0.507000
0.00017019	0.508000
0.000170663	0.510000
0.000171135	0.511000
0.000172081	0.512000
0.000173499	0.515000
0.000173972	0.518000
0.000174444	0.521000
0.000177754	0.526000
0.000178226	0.528000
0.000179172	0.531000
0.000180117	0.532000
0.00018059	0.533000
0.000181063	0.534000
0.000181536	0.535000
0.000182008	0.536000
0.000182954	0.543000
0.000183899	0.544000
0.000184372	0.545000
0.000184845	0.548000
0.000188154	0.550000
0.000188627	0.551000
0.000189572	0.552000
0.000190045	0.553000
0.000190518	0.560000
0.000191463	0.564000
0.000193354	0.565000
0.000194773	0.570000
0.000196664	0.571000
0.000198555	0.573000
0.000199027	0.574000
0.000200446	0.575000
0.000201864	0.576000
0.000202337	0.577000
0.000203282	0.578000
0.000204228	0.579000
0.0002047	0.581000
0.000205173	0.583000
0.000206591	0.586000
0.000207064	0.590000
0.000208482	0.591000
0.000208955	0.593000
0.000209901	0.595000
0.000210846	0.597000
0.000211319	0.598000
0.000214155	0.599000
0.000214628	0.601000
0.000215101	0.602000
0.000215574	0.605000
0.000216519	0.606000
0.000216992	0.607000
0.00021841	0.608000
0.000219356	0.609000
0.000220301	0.611000
0.000221719	0.612000
0.000225974	0.613000
0.00022692	0.614000
0.000227392	0.615000
0.000228811	0.616000
0.000229756	0.618000
0.000231174	0.619000
0.000231647	0.620000
0.00023212	0.621000
0.000234484	0.623000
0.000234956	0.624000
0.000239684	0.625000
0.000240157	0.627000
0.000242048	0.631000
0.000244411	0.632000
0.000247721	0.633000
0.000248666	0.634000
0.000251503	0.635000
0.000251975	0.636000
0.000252448	0.637000
0.000253394	0.639000
0.000254812	0.640000
0.000255757	0.641000
0.00025623	0.642000
0.000256703	0.644000
0.000257648	0.647000
0.000258594	0.648000
0.000259067	0.650000
0.00026143	0.651000
0.000261903	0.652000
0.000263794	0.654000
0.000264267	0.658000
0.000265685	0.659000
0.000267576	0.660000
0.000268994	0.661000
0.000271831	0.664000
0.000273249	0.665000
0.000274667	0.666000
0.000277031	0.668000
0.000278449	0.669000
0.000279395	0.670000
0.00028034	0.672000
0.000280813	0.673000
0.000281286	0.674000
0.000282704	0.675000
0.000283177	0.676000
0.000284122	0.679000
0.000289323	0.683000
0.000289795	0.684000
0.000290741	0.686000
0.000295468	0.689000
0.000298305	0.690000
0.00029925	0.692000
0.000299723	0.693000
0.000300196	0.694000
0.000301141	0.696000
0.000301614	0.697000
0.000302087	0.698000
0.000304451	0.699000
0.000305869	0.700000
0.000306342	0.702000
0.000308233	0.704000
0.000309651	0.705000
0.000310124	0.706000
0.000312015	0.707000
0.000314851	0.711000
0.000315324	0.712000
0.000315797	0.713000
