	PRC_12_25
0	1
0.003000	0.788304
0.004000	0.832355
0.005000	0.832355
0.006000	0.809731
0.009000	0.832355
0.010000	0.846547
0.012000	0.868766
0.014000	0.863371
0.015000	0.871307
0.019000	0.887149
0.022000	0.893643
0.024000	0.901634
0.031000	0.916624
0.032000	0.919019
0.033000	0.911035
0.034000	0.913425
0.035000	0.915690
0.038000	0.921825
0.040000	0.925443
0.042000	0.928740
0.048000	0.937087
0.049000	0.934687
0.050000	0.935910
0.051000	0.937087
0.052000	0.934825
0.053000	0.932659
0.057000	0.933994
0.058000	0.932032
0.059000	0.933107
0.061000	0.935158
0.062000	0.933299
0.063000	0.928740
0.064000	0.929775
0.070000	0.935406
0.073000	0.933066
0.074000	0.933911
0.078000	0.934825
0.081000	0.937087
0.082000	0.937807
0.083000	0.934255
0.084000	0.932895
0.085000	0.933632
0.086000	0.934353
0.087000	0.931028
0.089000	0.930509
0.090000	0.925443
0.091000	0.926202
0.093000	0.927674
0.094000	0.928388
0.095000	0.927262
0.097000	0.926868
0.098000	0.925795
0.099000	0.926489
0.101000	0.927840
0.103000	0.929142
0.104000	0.928104
0.106000	0.929365
0.116000	0.933543
0.118000	0.934596
0.120000	0.934149
0.121000	0.934657
0.122000	0.935158
0.123000	0.935651
0.125000	0.936616
0.126000	0.937087
0.128000	0.933874
0.129000	0.934353
0.130000	0.932125
0.131000	0.929941
0.132000	0.930435
0.134000	0.931402
0.135000	0.930582
0.139000	0.932445
0.140000	0.931645
0.141000	0.932096
0.144000	0.933417
0.147000	0.932299
0.149000	0.933147
0.150000	0.933563
0.152000	0.934380
0.156000	0.935955
0.162000	0.935997
0.165000	0.936016
0.166000	0.936377
0.168000	0.933939
0.169000	0.932229
0.171000	0.932968
0.172000	0.933332
0.176000	0.933749
0.177000	0.934099
0.178000	0.934445
0.179000	0.934787
0.184000	0.933576
0.185000	0.932963
0.188000	0.933962
0.189000	0.934288
0.190000	0.934611
0.191000	0.934931
0.193000	0.935562
0.194000	0.935873
0.195000	0.936181
0.200000	0.937677
0.209000	0.938500
0.210000	0.937087
0.213000	0.937918
0.215000	0.938460
0.217000	0.938993
0.218000	0.939256
