	ROC_12_25
0	0
1.90925e-06	0.004000
2.38656e-06	0.005000
3.34119e-06	0.006000
4.29582e-06	0.012000
5.25044e-06	0.015000
5.72775e-06	0.019000
6.20507e-06	0.024000
6.68238e-06	0.032000
7.63701e-06	0.048000
8.11432e-06	0.050000
9.54626e-06	0.052000
1.00236e-05	0.057000
1.05009e-05	0.059000
1.09782e-05	0.061000
1.19328e-05	0.062000
1.24101e-05	0.064000
1.33648e-05	0.074000
1.38421e-05	0.081000
1.43194e-05	0.082000
1.5274e-05	0.085000
1.57513e-05	0.086000
1.67059e-05	0.087000
1.71833e-05	0.089000
1.81379e-05	0.093000
2.00471e-05	0.098000
2.05245e-05	0.099000
2.10018e-05	0.101000
2.14791e-05	0.103000
2.19564e-05	0.116000
2.24337e-05	0.118000
2.2911e-05	0.126000
2.38656e-05	0.129000
2.48203e-05	0.130000
2.62522e-05	0.134000
2.67295e-05	0.139000
2.81615e-05	0.140000
2.86388e-05	0.147000
2.91161e-05	0.150000
2.95934e-05	0.162000
3.0548e-05	0.165000
3.10253e-05	0.168000
3.198e-05	0.171000
3.24573e-05	0.172000
3.29346e-05	0.176000
3.34119e-05	0.179000
3.48438e-05	0.184000
3.53212e-05	0.189000
3.57985e-05	0.191000
3.62758e-05	0.200000
3.77077e-05	0.209000
3.86623e-05	0.219000
3.91397e-05	0.222000
4.00943e-05	0.229000
4.05716e-05	0.231000
4.24808e-05	0.233000
4.29582e-05	0.234000
4.34355e-05	0.235000
4.39128e-05	0.239000
4.43901e-05	0.241000
4.53447e-05	0.244000
4.5822e-05	0.248000
4.67767e-05	0.249000
4.82086e-05	0.255000
4.86859e-05	0.258000
4.96405e-05	0.260000
5.01178e-05	0.268000
5.05952e-05	0.269000
5.10725e-05	0.273000
5.20271e-05	0.274000
5.3459e-05	0.277000
5.44137e-05	0.280000
5.4891e-05	0.282000
5.63229e-05	0.283000
5.68002e-05	0.286000
5.77549e-05	0.288000
6.01414e-05	0.295000
6.30053e-05	0.304000
6.49145e-05	0.305000
6.63465e-05	0.313000
6.73011e-05	0.320000
6.82557e-05	0.321000
7.06423e-05	0.324000
7.20742e-05	0.327000
7.30289e-05	0.334000
7.39835e-05	0.337000
7.44608e-05	0.341000
7.49381e-05	0.342000
7.54154e-05	0.343000
7.68474e-05	0.345000
7.73247e-05	0.348000
7.97112e-05	0.357000
8.06659e-05	0.362000
8.25751e-05	0.377000
8.35297e-05	0.379000
8.40071e-05	0.380000
8.5439e-05	0.381000
8.73483e-05	0.384000
8.83029e-05	0.385000
8.92575e-05	0.387000
9.06894e-05	0.388000
9.11668e-05	0.393000
9.25987e-05	0.394000
9.40306e-05	0.396000
9.45079e-05	0.397000
9.49853e-05	0.408000
9.54626e-05	0.411000
9.59399e-05	0.413000
9.64172e-05	0.414000
9.83264e-05	0.420000
9.97584e-05	0.427000
0.000100236	0.428000
0.000100713	0.429000
0.000102145	0.430000
0.0001031	0.431000
0.000105009	0.434000
0.000106441	0.442000
0.000106918	0.446000
0.000107873	0.447000
0.00010835	0.454000
0.000108827	0.456000
0.000110737	0.458000
0.0001136	0.460000
0.000114078	0.465000
0.000117896	0.471000
0.000118374	0.479000
0.000120283	0.480000
0.00012076	0.481000
